GEO_ID,NAME,S1701_C01_001E
0500000US42001,"Adams County, Pennsylvania",98458
0500000US42003,"Allegheny County, Pennsylvania",1186569
0500000US42005,"Armstrong County, Pennsylvania",64654
0500000US42007,"Beaver County, Pennsylvania",162195
0500000US42009,"Bedford County, Pennsylvania",47447
0500000US42011,"Berks County, Pennsylvania",406005
0500000US42013,"Blair County, Pennsylvania",119630
0500000US42015,"Bradford County, Pennsylvania",59944
0500000US42017,"Bucks County, Pennsylvania",618837
0500000US42019,"Butler County, Pennsylvania",182413
0500000US42021,"Cambria County, Pennsylvania",125199
0500000US42023,"Cameron County, Pennsylvania",4473
0500000US42025,"Carbon County, Pennsylvania",62736
0500000US42027,"Centre County, Pennsylvania",143643
0500000US42029,"Chester County, Pennsylvania",509175
0500000US42031,"Clarion County, Pennsylvania",37470
0500000US42033,"Clearfield County, Pennsylvania",73598
0500000US42035,"Clinton County, Pennsylvania",36920
0500000US42037,"Columbia County, Pennsylvania",60862
0500000US42039,"Crawford County, Pennsylvania",81302
0500000US42041,"Cumberland County, Pennsylvania",238008
0500000US42043,"Dauphin County, Pennsylvania",272317
0500000US42045,"Delaware County, Pennsylvania",544692
0500000US42047,"Elk County, Pennsylvania",29667
0500000US42049,"Erie County, Pennsylvania",258836
0500000US42051,"Fayette County, Pennsylvania",125575
0500000US42053,"Forest County, Pennsylvania",3911
0500000US42055,"Franklin County, Pennsylvania",152796
0500000US42057,"Fulton County, Pennsylvania",14418
0500000US42059,"Greene County, Pennsylvania",32919
0500000US42061,"Huntingdon County, Pennsylvania",39604
0500000US42063,"Indiana County, Pennsylvania",78985
0500000US42065,"Jefferson County, Pennsylvania",42675
0500000US42067,"Juniata County, Pennsylvania",24354
0500000US42069,"Lackawanna County, Pennsylvania",202409
0500000US42071,"Lancaster County, Pennsylvania",531134
0500000US42073,"Lawrence County, Pennsylvania",83980
0500000US42075,"Lebanon County, Pennsylvania",136732
0500000US42077,"Lehigh County, Pennsylvania",357931
0500000US42079,"Luzerne County, Pennsylvania",305807
0500000US42081,"Lycoming County, Pennsylvania",107234
0500000US42083,"McKean County, Pennsylvania",38151
0500000US42085,"Mercer County, Pennsylvania",103318
0500000US42087,"Mifflin County, Pennsylvania",45461
0500000US42089,"Monroe County, Pennsylvania",166335
0500000US42091,"Montgomery County, Pennsylvania",805433
0500000US42093,"Montour County, Pennsylvania",17331
0500000US42095,"Northampton County, Pennsylvania",293008
0500000US42097,"Northumberland County, Pennsylvania",87434
0500000US42099,"Perry County, Pennsylvania",45542
0500000US42101,"Philadelphia County, Pennsylvania",1538102
0500000US42103,"Pike County, Pennsylvania",55266
0500000US42105,"Potter County, Pennsylvania",16438
0500000US42107,"Schuylkill County, Pennsylvania",134598
0500000US42109,"Snyder County, Pennsylvania",38088
0500000US42111,"Somerset County, Pennsylvania",68646
0500000US42113,"Sullivan County, Pennsylvania",5824
0500000US42115,"Susquehanna County, Pennsylvania",40128
0500000US42117,"Tioga County, Pennsylvania",40218
0500000US42119,"Union County, Pennsylvania",35924
0500000US42121,"Venango County, Pennsylvania",50099
0500000US42123,"Warren County, Pennsylvania",38777
0500000US42125,"Washington County, Pennsylvania",201788
0500000US42127,"Wayne County, Pennsylvania",47488
0500000US42129,"Westmoreland County, Pennsylvania",343662
0500000US42131,"Wyoming County, Pennsylvania",26212
0500000US42133,"York County, Pennsylvania",438276